week_ending,hb,hbqf,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation,wk_ending_yr_month,wk_ending_month,wk_ending_year,year_quarter,total_admissions_per_month_simd,admissions_2018_19_per_month_simd,total_admissions_per_quarter_simd,admissions_2018_19_per_quarter_simd
2020-01-19,S08000019,NA,2,Emergency,NA,140,285,-50.9,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000019,NA,3,Emergency,NA,138,233.5,-40.9,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000019,NA,4,Emergency,NA,98,180.5,-45.7,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000019,NA,5,Emergency,NA,80,153.5,-47.9,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000020,NA,1,Emergency,NA,86,83,3.6,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000020,NA,2,Emergency,NA,210,183.5,14.4,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000020,NA,3,Emergency,NA,263,210.5,24.9,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000020,NA,4,Emergency,NA,271,273.5,-0.9,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000020,NA,5,Emergency,NA,250,206,21.4,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000022,NA,1,Emergency,NA,64,79,-19,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000022,NA,2,Emergency,NA,126,123.5,2,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000022,NA,3,Emergency,NA,207,226,-8.4,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000022,NA,4,Emergency,NA,160,165,-3,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000022,NA,5,Emergency,NA,40,36.5,9.6,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000024,NA,1,Emergency,NA,307,275.5,11.4,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000024,NA,2,Emergency,NA,538,391.5,37.4,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000024,NA,3,Emergency,NA,305,255.5,19.4,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000024,NA,4,Emergency,NA,308,254.5,21,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000024,NA,5,Emergency,NA,404,322.5,25.3,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000025,NA,2,Emergency,NA,9,6,50,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000025,NA,3,Emergency,NA,7,8.5,-17.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000025,NA,4,Emergency,NA,25,20,25,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000026,NA,3,Emergency,NA,7,16.5,-57.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000026,NA,4,Emergency,NA,13,23,-43.5,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000028,NA,2,Emergency,NA,6,11,-45.5,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000028,NA,3,Emergency,NA,53,48,10.4,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000029,NA,1,Emergency,NA,226,212.5,6.4,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000029,NA,2,Emergency,NA,217,196.5,10.4,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000029,NA,3,Emergency,NA,141,160.5,-12.1,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000029,NA,4,Emergency,NA,141,120,17.5,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000029,NA,5,Emergency,NA,102,84.5,20.7,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000030,NA,1,Emergency,NA,221,223,-0.9,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000030,NA,2,Emergency,NA,189,182.5,3.6,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000030,NA,3,Emergency,NA,181,203,-10.8,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000030,NA,4,Emergency,NA,221,252,-12.3,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000030,NA,5,Emergency,NA,159,177.5,-10.4,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000031,NA,1,Emergency,NA,1179,1154.5,2.1,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000031,NA,2,Emergency,NA,538,534,0.7,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000031,NA,3,Emergency,NA,365,346,5.5,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000031,NA,4,Emergency,NA,308,274,12.4,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000031,NA,5,Emergency,NA,347,334,3.9,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000032,NA,1,Emergency,NA,474,516.5,-8.2,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000032,NA,2,Emergency,NA,392,386.5,1.4,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000032,NA,3,Emergency,NA,244,248,-1.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000032,NA,4,Emergency,NA,190,190.5,-0.3,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000032,NA,5,Emergency,NA,109,130,-16.2,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S92000003,d,1,Emergency,NA,3072,3272,-6.1,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S92000003,d,2,Emergency,NA,2743,2724.5,0.7,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S92000003,d,3,Emergency,NA,2274,2362.5,-3.7,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S92000003,d,4,Emergency,NA,1982,1978,0.2,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S92000003,d,5,Emergency,NA,1615,1578,2.3,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-26,S08000015,NA,1,Emergency,NA,364,407,-10.6,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-26,S08000015,NA,2,Emergency,NA,233,238.5,-2.3,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-26,S08000015,NA,3,Emergency,NA,151,185,-18.4,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-26,S08000015,NA,4,Emergency,NA,128,130,-1.5,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-26,S08000015,NA,5,Emergency,NA,87,101.5,-14.3,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-26,S08000016,NA,1,Emergency,NA,18,15.5,16.1,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-26,S08000016,NA,2,Emergency,NA,57,47.5,20,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-26,S08000016,NA,3,Emergency,NA,76,85.5,-11.1,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
